color;Domaine;Nom;Departement;Pays;Annee;Cepage;Producteur


Rouge;Antocyame;18H17;Midi-Pyrénées;France;2018;syrah;Benoît + Sébastien Danjou
Rouge;Arena;Carco;Corse;France;2018;100 % nielluccio;Antoine-Marie Arena
Rouge;Auprès de mon cep ;La Soif du Bagnard;Hérault;France;2015;syrah, grenach, vermentino nero;Ian Lu
Rouge;Aurélien Lefort ;Buisson Ardent;Auvergne;France;2017;gamay d’Auvergne;Aurélien Lefort
Rouge;Azienda agricola Foradori;Lezèr;Trentino-Alto-Adige;Italie ;2018;teroldego;Elisabetta Foradori
Rouge;Balansa;Can del Rey;Aude;France;2017;carignan, grenache noir, syrah;Céline Peyre + Alex Gresent
Rouge;Barranco Oscuro;Cerro la Monjas 1368;Andalousie;Espagne;2015;sauvignon, cabernet franc, merlot et grenache;la Famille Valenzuela
Rouge;Calabretta vini;Piedefranco ;Sicile;Italie;2017;nerello mascalese;Massimiliano Calabretta
Rouge;Calcarius;Hellen;Pouilles ;Italie ;2018;100 % nero di troia;Valentina Pasalaqua + Danilo Marcucci
Rouge;Calcarius;Rosso ;Pouilles ;Italie;2017;100 % negroamaro;Valentina Pasalaqua + Danilo Marcucci
Blanc;Antocyame;Blanc de Zinc ;Tarn-et-Garonne;France ;2018;100 % chardonnay;Muriel Zoldan 
Blanc;Arena;BG;Corse;France;2018;bianco gentile;Antoine-Marie Arena
Blanc;Azienda agricola SETE;Tropical;Lazio;Italie;2019;Ottonese;Azienda agricola SETE
Blanc;Azienda agricola SETE;Maya;Lazio;Italie;2019;Moscato;Azienda agricola SETE
Blanc;Azienda agricola SETE;Flora;Lazio;Italie;2019;Moscato;Azienda agricola SETE
Blanc;Balansa;Aragon;Lanquedoc-roussillon;France;2018;muscat petit grain, muscat d’Alexandrie ;Céline Peyre + Alex Gresent
Blanc;Barranco Oscurro;Cardonohay;Andalousie;Espagne;2012;chardonnay;la Famille Valenzuela
Blanc;Calcarius ;Bianco Puglia;Pouilles ;Italie ;2017;100 % bombino bianco;Valentina Pasalaqua + Danilo Marcucci
Blanc;Cascina degli ulivi;Semplimente;Piedmont ;Italie;2019;100% cortese;Bellotti
